DESTINO;ORIGEN;CANTI;FOBDOL;FOBPES
AUS;BOG;300;15;59848,35
AUS;BOG;9200;1814;7467494,26
AUS;BOG;1;11655;47978856,45
AUS;BOG;93630;17818,9;71938284,89
AUS;BOG;255040;72546;292881985,7
AUS;BOG;18376;6519,68;25916314,77
AUS;BOG;45500;8962;35624756,58
AUS;BOG;50,5;168752,74;682960901,6
AUS;BOG;552;4601,36;18211124,56
AUS;BOG;1462;30460;123195774,6
AUS;BOG;3;390;1574504,1
AUS;BOG;8;2304;9301685,76
AUS;BOG;6;1548;6249570,12
AUS;BOG;6;1800;7266942
AUS;BOG;38;8152;32911172,88
AUS;BOG;12;3192;12886710,48
AUS;BOG;14;2356;9511619,64
AUS;BOG;2;516;2083190,04
AUS;BOG;4;1288;5199900,72
AUT;BOG;13080;2223,6;9066595,58
AUT;BOG;25740;4375,8;17842061,95
AUT;BOG;127,93;119333,55;491247298,6
AUT;BOG;20160;3201,6;12922125,98
AUT;BOG;72460;10958,8;44154374,56
AUT;BOG;160;1,6;6454,12
AUT;BOG;380;3,8;15328,55
AZE;BOG;7179;5070,46;20631406,97
AZE;BOG;32;76,8;312252,67
AZE;BOG;1;18655,52;76344544,16
AZE;BOG;1;17252;70600877,16
AZE;BOG;1;12717;52042160,61
AZE;BOG;1400;308;1243454,52
AZE;BOG;1000;320;1291900,8
AZE;BOG;432;34,56;141430,92
AZE;BOG;6400;855,48;3478202,02
AZE;BOG;56300;7909,42;32158040,74
BHS;BOG;192;8417,99;33985025,04
BHS;BOG;200;9066,5;36603183,13
BHS;BOG;682;7680,52;31007718,53
BHS;BOG;219;15429,85;62293236,12
BHS;BOG;587;8239,62;33264911,46
BHS;BOG;3,21;2846,87;11493355,09
BHR;BOG;3468;2268;8989376,76
BHR;BOG;8237;3636,37;14800765,57
BHR;BOG;480;134,4;550009,15
BHR;BOG;931,16;240;987981,6
BHR;BOG;540,64;51500;212004385
BHR;BOG;1006;316,72;1278658,81
BHR;BOG;3774;542,96;2192032,68
BHR;BOG;36;98,44;391307,85
BHR;BOG;6;29,51;117304,9
BHR;BOG;82;230,75;917252,01
BHR;BOG;6,6;31,31;124460,06
BHR;BOG;18500;4520;17992628,4
BHR;BOG;16762;2153,86;8561787,34
BHR;BOG;4558;834,14;3339726,36
BHR;BOG;11875;2968,75;12104900
BHR;BOG;103900;15656,75;62968945,48
BHR;BOG;7500;750;3054730,5
BHR;BOG;4000;800;3247195,2
BHR;BOG;920;119,6;482446,06
BHR;BOG;4110;2743,25;11295907,95
BHR;BOG;6180;1746,4;7120004,93
BHR;BOG;328;4180;17054501,16
BRB;BOG;58;5784,64;23672655,81
BEL;BOG;80;530,4;2124283,82
BEL;BOG;160;462,4;1851939,74
BEL;BOG;69;199,64;799570,17
BEL;BOG;169,2;976,96;3912783,41
BEL;BOG;1;40;162406
BEL;BOG;2;100;400506
BEL;BOG;448;3504;14146313,76
BEL;BOG;150;1275;5147417,25
BEL;BOG;2646;13837,25;54844908,98
BEL;BOG;1;1311,53;5220768,12
BEL;BOG;544,32;22279,8;88564210,18
BEL;BOG;3;4622,94;18918596,05
BEL;BOG;6;1383,56;5585694,58
BMU;BOG;36;493,2;2018337,15
BMU;BOG;481;21888,75;89575988,28
BMU;BOG;210;3786,48;15495525,69
BMU;BOG;6;199,08;814701,05
BMU;BOG;8;166,08;679654,16
BMU;BOG;41;533,02;2181293,73
BLR;BOG;26104;26089,14;106376903
BLR;BOG;95350;33270,48;136998188,2
BLR;BOG;2800;532;2190621,72
BLR;BOG;56350;10820,5;44555681,05
BLR;BOG;15200;2612,01;10605152,4
BLR;BOG;66150;22180,52;91051890,4
BLR;BOG;2200;418;1721202,78
BLR;BOG;108250;20659,97;84889334,66
BLR;BOG;1936;5902,4;23997918,89
BLR;BOG;212;436,4;1774310,75
BLR;BOG;10000;3654;15046112,34
BLR;BOG;750;142,5;586773,67
BLR;BOG;2100;399;1642966,29
BLR;BOG;960;308,8;1271548,84
BLR;BOG;12800;1625,6;6578982,01
BLR;BOG;400;44,4;176741,74
BLR;BOG;11150;1460,65;5814365,63
BLR;BOG;5600;728;2987893,92
